figure	panel	order	script	relation	purpose
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/expand_to_152.py	ANALYSIS_SUPPORT	Run expand to 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/make_thin_annot_python_compatible.sh	ANALYSIS_SUPPORT	Run make thin annot python compatible.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/prepare_E1E9_reuse_existing_recalc.sh	ANALYSIS_SUPPORT	Run prepare E1E9 reuse existing recalc.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_A1_h2_152.sh	ANALYSIS_SUPPORT	Run run A1 h2 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_A2_B2_cts_152.sh	ANALYSIS_SUPPORT	Run run A2 B2 cts 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_B1_h2_152.sh	ANALYSIS_SUPPORT	Run run B1 h2 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_control_ldscore.sh	ANALYSIS_SUPPORT	Run run control ldscore.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_control_make_annots.sh	ANALYSIS_SUPPORT	Run run control make annots.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_ldscore_array.sh	ANALYSIS_SUPPORT	Run run ldscore array.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_make_annots_array.sh	ANALYSIS_SUPPORT	Run run make annots array.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_summaries.sh	ANALYSIS_SUPPORT	Run run summaries.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/stat_plot_A2_B2_all_tissues_enrichment.py	ANALYSIS_SUPPORT	Run stat plot A2 B2 all tissues enrichment.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/submit_E1E9_reuse_existing_152.sh	ANALYSIS_SUPPORT	Run submit E1E9 reuse existing 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/summarize_plot_A1_B1_152.py	ANALYSIS_SUPPORT	Run summarize plot A1 B1 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/summarize_plot_A2_B2_152.py	ANALYSIS_SUPPORT	Run summarize plot A2 B2 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/trait_qc_152.py	ANALYSIS_SUPPORT	Run trait qc 152.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/__init__.py	ANALYSIS_SUPPORT	Run init.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/config.py	ANALYSIS_SUPPORT	Run config.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figure_inputs/__init__.py	ANALYSIS_SUPPORT	Run init.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figure_inputs/build_merged_classification.py	ANALYSIS_SUPPORT	Run build merged classification.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figure_inputs/score_conservation.py	ANALYSIS_SUPPORT	Run score conservation.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figures/__init__.py	ANALYSIS_SUPPORT	Run init.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figures/fig8.py	ANALYSIS_SUPPORT	Run fig8.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/preflight.py	ANALYSIS_SUPPORT	Run preflight.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/tests/test_static.py	ANALYSIS_SUPPORT	Run test static.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/workflow.py	ANALYSIS_SUPPORT	Run workflow.
Shared_Workflows	AS_flow	01	figures/Shared_Workflows/AS_flow/envs/01_create_environments.sh	ANALYSIS_SUPPORT	Run create environments.
Shared_Workflows	AS_flow	00	figures/Shared_Workflows/AS_flow/scripts/00_config.sh	ANALYSIS_SUPPORT	Run config.
Shared_Workflows	AS_flow	00	figures/Shared_Workflows/AS_flow/scripts/00_lib.sh	ANALYSIS_SUPPORT	Run lib.
Shared_Workflows	AS_flow	01	figures/Shared_Workflows/AS_flow/scripts/01_check_environment.sh	ANALYSIS_SUPPORT	Run check environment.
Shared_Workflows	AS_flow	02	figures/Shared_Workflows/AS_flow/scripts/02_prepare_reference_mappability.sh	ANALYSIS_SUPPORT	Run prepare reference mappability.
Shared_Workflows	AS_flow	03	figures/Shared_Workflows/AS_flow/scripts/03_process_mappability_and_peaks.sh	ANALYSIS_SUPPORT	Run process mappability and peaks.
Shared_Workflows	AS_flow	04	figures/Shared_Workflows/AS_flow/scripts/04_batch_submit_peak_pipeline.sh	ANALYSIS_SUPPORT	Run batch submit peak pipeline.
Shared_Workflows	AS_flow	05	figures/Shared_Workflows/AS_flow/scripts/05_process_rnaseq.sh	ANALYSIS_SUPPORT	Run process rnaseq.
Shared_Workflows	AS_flow	06	figures/Shared_Workflows/AS_flow/scripts/06_batch_submit_rnaseq.sh	ANALYSIS_SUPPORT	Run batch submit rnaseq.
Shared_Workflows	AS_flow	07	figures/Shared_Workflows/AS_flow/scripts/07_prepare_phasing_inputs.sh	ANALYSIS_SUPPORT	Run prepare phasing inputs.
Shared_Workflows	AS_flow	08	figures/Shared_Workflows/AS_flow/scripts/08_run_phasing.sh	ANALYSIS_SUPPORT	Run run phasing.
Shared_Workflows	AS_flow	09	figures/Shared_Workflows/AS_flow/scripts/09_prepare_wasp_hdf5.sh	ANALYSIS_SUPPORT	Run prepare wasp hdf5.
Shared_Workflows	AS_flow	10	figures/Shared_Workflows/AS_flow/scripts/10_run_wasp.sh	ANALYSIS_SUPPORT	Run run wasp.
Shared_Workflows	AS_flow	11	figures/Shared_Workflows/AS_flow/scripts/11_batch_submit_wasp.sh	ANALYSIS_SUPPORT	Run batch submit wasp.
Shared_Workflows	AS_flow	12	figures/Shared_Workflows/AS_flow/scripts/12_prepare_phased_vcfs.sh	ANALYSIS_SUPPORT	Run prepare phased vcfs.
Shared_Workflows	AS_flow	13	figures/Shared_Workflows/AS_flow/scripts/13_run_gatk_ase.sh	ANALYSIS_SUPPORT	Run run gatk ase.
Shared_Workflows	AS_flow	14	figures/Shared_Workflows/AS_flow/scripts/14_batch_submit_gatk_ase.sh	ANALYSIS_SUPPORT	Run batch submit gatk ase.
Shared_Workflows	AS_flow	15	figures/Shared_Workflows/AS_flow/scripts/15_prepare_ase_counts.sh	ANALYSIS_SUPPORT	Run prepare ase counts.
Shared_Workflows	AS_flow	16	figures/Shared_Workflows/AS_flow/scripts/16_batch_prepare_ase_counts.sh	ANALYSIS_SUPPORT	Run batch prepare ase counts.
Shared_Workflows	AS_flow	17	figures/Shared_Workflows/AS_flow/scripts/17_fdr_adjust.R	ANALYSIS_SUPPORT	Run fdr adjust.
Shared_Workflows	AS_flow	18	figures/Shared_Workflows/AS_flow/scripts/18_fdr_simulation.R	ANALYSIS_SUPPORT	Run fdr simulation.
Shared_Workflows	AS_flow	19	figures/Shared_Workflows/AS_flow/scripts/19_run_fdr.sh	ANALYSIS_SUPPORT	Run run fdr.
Shared_Workflows	AS_flow	20	figures/Shared_Workflows/AS_flow/scripts/20_batch_submit_fdr.sh	ANALYSIS_SUPPORT	Run batch submit fdr.
Shared_Workflows	AS_flow	21	figures/Shared_Workflows/AS_flow/scripts/21_count_snps.sh	ANALYSIS_SUPPORT	Run count snps.
Shared_Workflows	AS_flow	22	figures/Shared_Workflows/AS_flow/scripts/22_self_test.sh	ANALYSIS_SUPPORT	Run self test.
Shared_Workflows	AS_flow	23	figures/Shared_Workflows/AS_flow/scripts/23_capture_software_versions.sh	ANALYSIS_SUPPORT	Run capture software versions.
Shared_Workflows	enhancer_sharing	01	figures/Shared_Workflows/enhancer_sharing/01_split_enhancers_by_tissue_count.py	ANALYSIS_SUPPORT	Validate the 43-tissue activity matrix and split enhancers by the number of active tissues.
Shared_Workflows	enhancer_sharing	02	figures/Shared_Workflows/enhancer_sharing/02_link_enhancers_to_target_genes.py	ANALYSIS_SUPPORT	Collapse the 43 tissue counts into five enhancer-sharing classes and link enhancers to target genes.
Shared_Workflows	local_association_plotting	01	figures/Shared_Workflows/local_association_plotting/01_plot_local_gwas_eqtl.py	ANALYSIS_SUPPORT	Reusable local GWAS/eQTL plotting engine; the uploaded source did not contain panel-specific commands.
Shared_Workflows	multi_tissue_locus_tracks	01	figures/Shared_Workflows/multi_tissue_locus_tracks/01_plot_multi_tissue_locus_tracks.R	ANALYSIS_SUPPORT	Reusable multi-tissue locus-track engine; the uploaded source did not contain the submitted panels' exact regions and commands.
Shared_Workflows	multi_tissue_locus_tracks	02	figures/Shared_Workflows/multi_tissue_locus_tracks/02_example_multi_tissue_locus_tracks.sh	ANALYSIS_SUPPORT	Example commands supplied with the reusable locus-track engine; these are not assigned to a submitted panel.
Shared_Workflows	superenhancer_flow	01	figures/Shared_Workflows/superenhancer_flow/01_config.sh	ANALYSIS_SUPPORT	Run config.
Shared_Workflows	superenhancer_flow	02	figures/Shared_Workflows/superenhancer_flow/02_initialize_and_prepare_inputs.sh	ANALYSIS_SUPPORT	Run initialize and prepare inputs.
Shared_Workflows	superenhancer_flow	03	figures/Shared_Workflows/superenhancer_flow/03_build_and_install_rose_annotation.sh	ANALYSIS_SUPPORT	Run build and install rose annotation.
Shared_Workflows	superenhancer_flow	04	figures/Shared_Workflows/superenhancer_flow/04_link_h3k27ac_bams.sh	ANALYSIS_SUPPORT	Run link h3k27ac bams.
Shared_Workflows	superenhancer_flow	05	figures/Shared_Workflows/superenhancer_flow/05_run_rose.sh	ANALYSIS_SUPPORT	Run run rose.
Shared_Workflows	superenhancer_flow	06	figures/Shared_Workflows/superenhancer_flow/06_merge_replicates_and_build_catalog.sh	ANALYSIS_SUPPORT	Run merge replicates and build catalog.
Shared_Workflows	superenhancer_flow	07	figures/Shared_Workflows/superenhancer_flow/07_genomic_annotation_summary.sh	ANALYSIS_SUPPORT	Run genomic annotation summary.
Shared_Workflows	superenhancer_flow	08	figures/Shared_Workflows/superenhancer_flow/08_compare_normal_and_super_enhancers.sh	ANALYSIS_SUPPORT	Run compare normal and super enhancers.
Shared_Workflows	superenhancer_flow	09	figures/Shared_Workflows/superenhancer_flow/09_build_enhancer_presence_matrices.sh	ANALYSIS_SUPPORT	Run build enhancer presence matrices.
Shared_Workflows	superenhancer_flow	10	figures/Shared_Workflows/superenhancer_flow/10_quantify_h3k27ac_signal.sh	ANALYSIS_SUPPORT	Run quantify h3k27ac signal.
Shared_Workflows	superenhancer_flow	11	figures/Shared_Workflows/superenhancer_flow/11_assign_target_genes_and_expression.sh	ANALYSIS_SUPPORT	Run assign target genes and expression.
Shared_Workflows	superenhancer_flow	12	figures/Shared_Workflows/superenhancer_flow/12_run_motif_enrichment.sh	ANALYSIS_SUPPORT	Run run motif enrichment.
Shared_Workflows	superenhancer_flow	13	figures/Shared_Workflows/superenhancer_flow/13_run_core_pipeline.sh	ANALYSIS_SUPPORT	Run run core pipeline.
Supplementary_Figure_08	08d	01	figures/Supplementary_Figure_08/08d/01_compute_predicted_accessibility_profiles.sh	PANEL_CODE	Compute ChromBPNet-predicted accessibility profiles by chromatin state.
Supplementary_Figure_08	08d	02	figures/Supplementary_Figure_08/08d/02_merge_accessibility_profiles.sh	PANEL_CODE	Merge predicted-accessibility profiles across tissues and states.
Supplementary_Figure_08	08e	01	figures/Supplementary_Figure_08/08e/01_summarize_state_methylation.sh	PANEL_CODE	Summarize methylation over tissue-matched chromatin states.
Supplementary_Figure_08	08e	02	figures/Supplementary_Figure_08/08e/02_plot_state_methylation.R	PANEL_CODE	Plot methylation profiles by chromatin state.
Supplementary_Figure_09	09a	01	figures/Supplementary_Figure_09/09a/01_motify.py	PANEL_CODE	Run motify.
Supplementary_Figure_09	09b	01	figures/Supplementary_Figure_09/09b/01_motify.py	PANEL_CODE	Run motify.
Supplementary_Figure_09	09c	01	figures/Supplementary_Figure_09/09c/01_motify.py	PANEL_CODE	Run motify.
Supplementary_Figure_09	09d	01	figures/Supplementary_Figure_09/09d/01_Onecount.R	PANEL_CODE	Run Onecount.
Supplementary_Figure_09	09e	01	figures/Supplementary_Figure_09/09e/01_motif.R	PANEL_CODE	Run motif.
Supplementary_Figure_12	12a	01	figures/Supplementary_Figure_12/12a/01_build_motif_summary_panels.R	PANEL_CODE	Build the full 118-motif summary panel.
Supplementary_Figure_12	12b	01	figures/Supplementary_Figure_12/12b/01_plot_agpat3_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the AGPAT3 multi-tissue locus.
Supplementary_Figure_13	13a	01	figures/Supplementary_Figure_13/13a/01_build_footprint_summary.py	PANEL_CODE	Build the motif footprint summary panel.
Supplementary_Figure_13	13a	02	figures/Supplementary_Figure_13/13a/02_run_footprint_summary.sh	PANEL_CODE	Run the motif footprint summary plot.
Supplementary_Figure_14	14ab,e	01	figures/Supplementary_Figure_14/14ab,e/01_plot_as_snp_distribution_and_annotation.R	PANEL_CODE	Run plot as snp distribution and annotation.
Supplementary_Figure_14	14c	01	figures/Supplementary_Figure_14/14c/01_weien.R	PANEL_CODE	Run weien.
Supplementary_Figure_14	14d	01	figures/Supplementary_Figure_14/14d/01_plot_all_group_intersections.R	PANEL_CODE	Run plot all group intersections.
Supplementary_Figure_14	14f	01	figures/Supplementary_Figure_14/14f/01_plot_tissue_specific_counts.R	PANEL_CODE	Run plot tissue specific counts.
Supplementary_Figure_14	14g	01	figures/Supplementary_Figure_14/14g/01_plot_cross_tissue_correlations.R	PANEL_CODE	Run plot cross tissue correlations.
Supplementary_Figure_14	14h	01	figures/Supplementary_Figure_14/14h/01_plot_tss_distance.R	PANEL_CODE	Run plot tss distance.
Supplementary_Figure_14	14i	01	figures/Supplementary_Figure_14/14i/01_plot_epigenetic_vs_rnaseq_correlations.R	PANEL_CODE	Run plot epigenetic vs rnaseq correlations.
Supplementary_Figure_14	14j	01	figures/Supplementary_Figure_14/14j/01_plot_as_peak_fraction.R	PANEL_CODE	Run plot as peak fraction.
Supplementary_Figure_15	01_FoldRichment.R	01	figures/Supplementary_Figure_15/01_FoldRichment.R	PANEL_CODE	Run FoldRichment.
Supplementary_Figure_17	17a-17c	01	figures/Supplementary_Figure_17/17a-17c/01_plot_cross_species_locus_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the cross-species panels.
Supplementary_Figure_18	18a-18g	01	figures/Supplementary_Figure_18/18a-18g/01_plot_local_gwas_panels.py	PANEL_CODE	Plot the seven submitted human local GWAS panels using panel-specific sites, traits and regions.
